"bldg_id","in.sqft","in.bedrooms","in.city","in.clothes_dryer","in.clothes_washer","in.cooking_range","in.county","in.dishwasher","in.water_heater_fuel","in.refrigerator","in.vacancy_status","in.income","in.occupants","in.heating_fuel","in.heating_setpoint","in.cooling_setpoint","in.hvac_cooling_efficiency","in.hvac_heating_efficiency"
411601,1220,3,"SC, Rock Hill","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","318 Rated kWh, 100% Usage","Natural Gas","EF 15.9, 100% Usage","Occupied","140000-159999","4","Natural Gas","65F","78F","AC, SEER 13","Fuel Wall/Floor Furnace, 68% AFUE"
412432,3301,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500730","None","Natural Gas","EF 17.6, 100% Usage","Occupied","40000-44999","2","Natural Gas","72F","75F","AC, SEER 15","Fuel Furnace, 80% AFUE"
414764,3301,4,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500730","290 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Occupied","60000-69999","2","Electricity","67F","78F","AC, SEER 15","Electric Furnace, 100% AFUE"
418143,3301,4,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","None","G4500910","290 Rated kWh, 120% Usage","Electricity","EF 15.9, 100% Usage","Occupied","100000-119999","3","Electricity","60F","70F","AC, SEER 10","Electric Furnace, 100% AFUE"
419395,2176,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500850","318 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","120000-139999","2","Electricity","65F","70F","Room AC, EER 10.7","Electric Furnace, 100% AFUE"
421236,3301,5,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","4","Natural Gas","72F","75F","Room AC, EER 9.8","Fuel Boiler, 80% AFUE"
421897,1220,2,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500850","None","Natural Gas","EF 17.6, 100% Usage","Occupied","25000-29999","2","Natural Gas","68F","68F","AC, SEER 13","Fuel Furnace, 80% AFUE"
421942,2176,3,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","None","Natural Gas","EF 15.9, 100% Usage","Occupied","100000-119999","2","Natural Gas","78F","72F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
429715,1690,4,"SC, Sumter","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","60000-69999","5","Electricity","78F","70F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
430444,1690,4,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","None","Electricity","EF 6.7, 100% Usage","Vacant","50000-59999","2","Electricity","55F","72F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
